id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_kerusakan,jumlah_kerusakan,satuan,tahun
1459,32,JAWA BARAT,3201,KABUPATEN BOGOR,HANCUR,0,UNIT,2021
1460,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK BERAT,92,UNIT,2021
1461,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK SEDANG,463,UNIT,2021
1462,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK RINGAN,783,UNIT,2021
1463,32,JAWA BARAT,3201,KABUPATEN BOGOR,TERANCAM,714,UNIT,2021
1464,32,JAWA BARAT,3201,KABUPATEN BOGOR,TERENDAM/TERTIMBUN,7338,UNIT,2021
1465,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HANCUR,0,UNIT,2021
1466,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK BERAT,82,UNIT,2021
1467,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK SEDANG,146,UNIT,2021
1468,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK RINGAN,140,UNIT,2021
1469,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TERANCAM,430,UNIT,2021
1470,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TERENDAM/TERTIMBUN,259,UNIT,2021
1471,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HANCUR,0,UNIT,2021
1472,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK BERAT,16,UNIT,2021
1473,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK SEDANG,28,UNIT,2021
1474,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK RINGAN,53,UNIT,2021
1475,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TERANCAM,168,UNIT,2021
1476,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TERENDAM/TERTIMBUN,204,UNIT,2021
1477,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HANCUR,0,UNIT,2021
1478,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK BERAT,94,UNIT,2021
1479,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK SEDANG,59,UNIT,2021
1480,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK RINGAN,643,UNIT,2021
1481,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TERANCAM,83,UNIT,2021
1482,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TERENDAM/TERTIMBUN,41218,UNIT,2021
1483,32,JAWA BARAT,3205,KABUPATEN GARUT,HANCUR,0,UNIT,2021
1484,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK BERAT,22,UNIT,2021
1485,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK SEDANG,33,UNIT,2021
1486,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK RINGAN,70,UNIT,2021
1487,32,JAWA BARAT,3205,KABUPATEN GARUT,TERANCAM,181,UNIT,2021
1488,32,JAWA BARAT,3205,KABUPATEN GARUT,TERENDAM/TERTIMBUN,422,UNIT,2021
1489,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HANCUR,0,UNIT,2021
1490,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK BERAT,0,UNIT,2021
1491,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK SEDANG,6,UNIT,2021
1492,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK RINGAN,11,UNIT,2021
1493,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TERANCAM,1,UNIT,2021
1494,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TERENDAM/TERTIMBUN,3,UNIT,2021
1495,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HANCUR,0,UNIT,2021
1496,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK BERAT,28,UNIT,2021
1497,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK SEDANG,51,UNIT,2021
1498,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK RINGAN,421,UNIT,2021
1499,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TERANCAM,88,UNIT,2021
1500,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TERENDAM/TERTIMBUN,709,UNIT,2021
1501,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HANCUR,0,UNIT,2021
1502,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK BERAT,4,UNIT,2021
1503,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK SEDANG,12,UNIT,2021
1504,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK RINGAN,14,UNIT,2021
1505,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TERANCAM,53,UNIT,2021
1506,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TERENDAM/TERTIMBUN,6,UNIT,2021
1507,32,JAWA BARAT,3209,KABUPATEN CIREBON,HANCUR,0,UNIT,2021
1508,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUSAK BERAT,8,UNIT,2021
1509,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUSAK SEDANG,6,UNIT,2021
