nama_kabupaten_kota,risiko_id,risiko_indeks_risiko_bencana,banjir_id,banjir_jumlah_banjir,gempa_id,gempa_jumlah_gempa_bumi,longsor_id,longsor_jumlah_tanah_longsor,cuaca_id,cuaca_jumlah_kerusakan,rumah_id,rumah_jumlah_kerusakan
3201,163,125.31,244,75,244,0,244,354,8769,9390,8769,9390
3202,164,192.4,245,27,245,6,245,286,8805,1057,8805,1057
3203,165,197.08,246,8,246,1,246,29,8841,469,8841,469
3204,166,161.89,247,50,247,5,247,52,8877,42097,8877,42097
3205,167,185.0,248,14,248,5,248,54,8913,728,8913,728
3206,168,186.51,249,1,249,3,249,7,8949,21,8949,21
3207,169,122.22,250,12,250,0,250,89,8985,1297,8985,1297
3208,170,131.13,251,4,251,0,251,47,9021,89,9021,89
3209,171,147.51,252,9,252,0,252,6,9057,12589,9057,12589
3210,172,124.74,253,9,253,0,253,77,9093,10204,9093,10204
3211,173,124.39,254,14,254,0,254,84,9129,546,9129,546
3212,174,114.59,255,10,255,1,255,1,9165,60753,9165,60753
3213,175,168.78,256,16,256,0,256,46,9201,37575,9201,37575
3214,176,124.53,257,3,257,1,257,18,9237,298,9237,298
3215,177,165.58,258,15,258,0,258,7,9273,28118,9273,28118
3216,178,130.11,259,9,259,0,259,3,9309,28172,9309,28172
3217,179,108.18,260,10,260,1,260,53,9345,240,9345,240
3218,180,129.21,261,0,261,1,261,3,9381,14,9381,14
3271,181,65.38,262,18,262,0,262,150,9417,746,9417,746
3272,182,102.67,263,2,263,0,263,2,9453,14,9453,14
3273,183,111.32,264,2,264,0,264,5,9489,185,9489,185
3274,184,157.19,265,1,265,0,265,2,9525,55,9525,55
3275,185,123.18,266,14,266,0,266,2,9561,826,9561,826
3276,186,82.56,267,3,267,0,267,2,9597,79,9597,79
3277,187,91.71,268,6,268,0,268,3,9633,386,9633,386
3278,188,117.37,269,2,269,0,269,2,9669,20,9669,20
3279,189,152.8,270,1,270,1,270,3,9705,14,9705,14
