id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_risiko_bencana,satuan,tahun
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,125.31,POIN,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,192.4,POIN,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,197.08,POIN,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,161.89,POIN,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,185.0,POIN,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,186.51,POIN,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,122.22,POIN,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,131.13,POIN,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,147.51,POIN,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,124.74,POIN,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,124.39,POIN,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,114.59,POIN,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,168.78,POIN,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,124.53,POIN,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,165.58,POIN,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,130.11,POIN,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,108.18,POIN,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,129.21,POIN,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,65.38,POIN,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,102.67,POIN,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,111.32,POIN,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,157.19,POIN,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,123.18,POIN,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,82.56,POIN,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,91.71,POIN,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,117.37,POIN,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,152.8,POIN,2021
